Affiliate,Hits,Uniques,Installs,Registrations,FTD,PNL,In-Out,Our Profit,Aff Profit,ROI,ROAS,Clicks,Deposit count,Deposit sum
752117,3,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
752094,0,0,0,0,0,30.52,30.43,15.62,14.89,204.31,204.92,0,3,52.65
752086,20,18,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
752071,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
752035,7,4,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
751923,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
751882,60,43,0,8,4,1294.92,1588.88,646.84,648.07,245.17,199.81,0,50,2384.22
751866,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
751815,6,6,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
751811,14,3,0,1,0,49.96,50.0,49.54,0.42,11773.68,11766.61,0,2,50.0
751669,896,435,0,122,32,1371.42,1902.79,684.76,686.66,277.11,199.72,0,120,2763.48
751446,51,37,0,4,3,284.73,269.43,127.74,156.99,171.62,181.37,0,18,455.69
751434,9,2,0,1,1,-384.85,961.63,-397.65,12.8,7507.63,-3004.6,0,3,961.63
751407,9,7,0,2,0,-21.0,-20.0,-21.0,0.0,0.0,0.0,0,3,30.0
751369,59,30,0,146,5,713.17,525.69,336.98,376.18,139.74,189.58,0,55,1032.8
751281,480,341,0,125,2,10.15,21.14,5.19,4.95,426.64,204.92,0,2,21.14
751044,19,19,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
