Month,Affiliate,Hits,Uniques,Installs,Registrations,FTD,PNL,In-Out,Our Profit,Aff Profit,ROI,ROAS,Clicks,Deposit count,Deposit sum
2024-12,440572,2,2,0,1,1,29.07,29.05,15.11,13.95,208.26,208.33,0,3,29.07
2024-12,440553,3,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,440538,2,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,440535,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,440437,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,440258,15,5,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,440256,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,440174,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,440156,15,10,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439941,2,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439931,3,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439930,55,31,0,9,4,183.08,209.56,95.68,87.4,239.77,209.48,0,13,229.13
2024-12,439915,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439797,4,1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439780,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439755,5,5,0,5,5,102.54,110.86,52.58,49.96,221.89,205.24,0,6,122.38
2024-12,439715,18,10,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439708,7,4,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439682,4,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439678,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439629,8,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439622,7,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439604,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439595,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439546,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439512,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439510,17,6,0,4,2,99.72,100.35,51.85,47.86,209.66,208.33,0,7,156.26
2024-12,439497,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439433,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439420,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439402,4,4,0,1,1,61.36,65.31,31.9,29.45,221.75,208.33,0,2,65.31
2024-12,439386,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439382,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
